% Model:              stripline_filter_simple_decomp_new_mesh.mph
% Version:            COMSOL 6.1.0.252
% Date:               May 18 2023, 21:20
% Dimension:          3
% Nodes:              1688
% Expressions:        1
% Description:        Surface
% X                       Y                        Z                        real(emw.Hy)
0.0015178220878367874     0.006357507897862114     0.005608000000000001     -0.4406773972823108
0.001547619047619048      0.006400000000000002     0.005608000000000001     2.2079242744764423E-16
0.001565441135455835      0.006357507897862114     0.005608000000000001     -0.37093725622439516
0.0015356441756735743     0.006315015795724225     0.005608000000000002     -0.7406182217471371
0.001583263223292622      0.006315015795724225     0.005608000000000001     -0.7418745124487885
0.0015534662635103612     0.006272523693586336     0.005608                 -1.0405590462119791
0.001601085311129409      0.006272523693586336     0.005608000000000001     -1.1128117686731847
0.0015712883513471485     0.006230031591448448     0.005608000000000001     -1.3404998706767985
0.0016189073989661962     0.006230031591448449     0.005608000000000001     -1.4837490248975809
0.0015891104391839354     0.00618753948931056      0.005608000000000002     -1.6404406951416588
0.001636729486802983      0.00618753948931056      0.005608000000000001     -1.854686281121975
