% Model:              stripline_filter_simple_decomp_new_mesh.mph
% Version:            COMSOL 6.1.0.252
% Date:               May 4 2023, 12:09
% Dimension:          3
% Nodes:              2339
% Expressions:        1
% Description:        Surface
% X                       Y                        Z                        real(emw.Ex)
6.625922383803972E-4      0.0016165704371350431    0.010508                 105.04584403825424
6.328794348429707E-4      0.0016024943750227898    0.010508                 99.3965448222076
6.031666313055442E-4      0.0015884183129105365    0.010508                 93.20924824516715
7.290319558018825E-4      0.001607817624646438     0.010508                 132.3542203240517
6.993191522644561E-4      0.0015937415625341847    0.010508                 131.94102884280892
6.696063487270296E-4      0.0015796655004219314    0.010508                 122.75861313149153
6.398935451896031E-4      0.001565589438309678     0.010508                 113.03820005917999
7.36046066148515E-4       0.0015709126879333262    0.010508                 130.83040823024538
7.063332626110884E-4      0.001556836625821073     0.010508                 136.07560453373821
6.76620459073662E-4       0.0015427605637088194    0.010508                 122.82207496615649
7.430601764951473E-4      0.0015340077512202145    0.010508                 112.02296890645758
